Match_date,Firstname,Lastname,Rating
26/05/2024,M.,ter Stegen,7.8
26/05/2024,João,Cancelo,7.3
26/05/2024,Iñigo,Martínez,5.7
26/05/2024,Pau,Cubarsí,6.1
26/05/2024,J.,Koundé,5.3
26/05/2024,İ.,Gündoğan,6.9
26/05/2024,A.,Christensen,6.5
26/05/2024,Pedri,Pedri,6.5
26/05/2024,Fermín,López,7.2
26/05/2024,R.,Lewandowski,7.3
26/05/2024,Lamine,Yamal,6.1
19/05/2024,M.,ter Stegen,7.7
19/05/2024,J.,Koundé,6.1
19/05/2024,Pau,Cubarsí,5.8
19/05/2024,Iñigo,Martínez,6.7
19/05/2024,João,Cancelo,6.4
19/05/2024,Sergi,Roberto,5.4
19/05/2024,İ.,Gündoğan,7.7
19/05/2024,Lamine,Yamal,7.3
19/05/2024,Fermín,López,5.7
19/05/2024,Raphinha,Raphinha,5.8
19/05/2024,R.,Lewandowski,7.4
16/05/2024,M.,ter Stegen,7.1
16/05/2024,Héctor,Fort,7
16/05/2024,Iñigo,Martínez,7.3
16/05/2024,Pau,Cubarsí,6.3
16/05/2024,J.,Koundé,7.2
16/05/2024,Pedri,Pedri,6.4
16/05/2024,Sergi,Roberto,7.4
16/05/2024,Fermín,López,8.5
16/05/2024,Ferran,Torres,6
16/05/2024,R.,Lewandowski,6.1
16/05/2024,Lamine,Yamal,7.3
13/05/2024,M.,ter Stegen,7.1
13/05/2024,J.,Koundé,6.8
13/05/2024,Pau,Cubarsí,6.4
13/05/2024,Iñigo,Martínez,6.2
13/05/2024,João,Cancelo,6.3
13/05/2024,İ.,Gündoğan,6.9
13/05/2024,A.,Christensen,5.5
13/05/2024,Pedri,Pedri,7.1
13/05/2024,Lamine,Yamal,8.1
13/05/2024,R.,Lewandowski,6.4
13/05/2024,Raphinha,Raphinha,7.4
04/05/2024,M.,ter Stegen,4.5
04/05/2024,João,Cancelo,6.6
04/05/2024,Pau,Cubarsí,5.2
04/05/2024,R.,Araujo,4.6
04/05/2024,J.,Koundé,5
04/05/2024,Sergi,Roberto,3.9
04/05/2024,A.,Christensen,7.4
04/05/2024,İ.,Gündoğan,5.9
04/05/2024,Fermín,López,4.9
04/05/2024,R.,Lewandowski,5.4
04/05/2024,Lamine,Yamal,7.5
29/04/2024,M.,ter Stegen,4.2
29/04/2024,J.,Koundé,7.2
29/04/2024,R.,Araujo,8.2
29/04/2024,Pau,Cubarsí,5.5
29/04/2024,João,Cancelo,6.2
29/04/2024,İ.,Gündoğan,7.8
29/04/2024,A.,Christensen,4.9
29/04/2024,Fermín,López,6.4
29/04/2024,Lamine,Yamal,6.2
29/04/2024,R.,Lewandowski,9.1
