Match_date,ID,Home_team,Away_team,Home_team_goals,Away_team_goals,Championnat
14/06/2024,74857,Allemagne,Écosse,5,1,Championnat d'Europe 2024
19/06/2024,74857,Allemagne,Hongrie,2,0,Championnat d'Europe 2024
23/06/2024,74857,Suisse,Allemagne,1,1,Championnat d'Europe 2024
29/06/2024,74857,Allemagne,Danemark,2,0,Championnat d'Europe 2024
05/07/2024,74857,Espagne,Allemagne,2,1,Championnat d'Europe 2024
09/09/2023,74857,Allemagne,Japon,1,4,Amicaux internationaux
12/09/2023,74857,Allemagne,France,2,1,Amicaux internationaux
14/10/2023,74857,États-Unis,Allemagne,1,3,Amicaux internationaux
18/10/2023,74857,Mexique,Allemagne,2,2,Amicaux internationaux
18/11/2023,74857,Allemagne,Turquie,2,3,Amicaux internationaux
21/11/2023,74857,Autriche,Allemagne,2,0,Amicaux internationaux
23/03/2024,74857,France,Allemagne,0,2,Amicaux internationaux
26/03/2024,74857,Allemagne,Pays-Bas,2,1,Amicaux internationaux
03/06/2024,74857,Allemagne,Ukraine,0,0,Amicaux internationaux
07/06/2024,74857,Allemagne,Grèce,2,1,Amicaux internationaux
20/09/2023,938145,Hongrie U18,Bosnie U18,0,1,Amicaux internationaux
04/10/2023,938145,Hongrie U18,Autriche U18,2,3,Amicaux internationaux
17/04/2024,938145,Hongrie U18,Grèce U18,1,1,Amicaux internationaux
06/06/2024,938145,Hongrie U18,Suède U18,1,2,Amicaux internationaux
08/06/2024,938145,Hongrie U18,Suède U18,1,0,Amicaux internationaux
16/06/2024,196948,Slovénie,Danemark,1,1,Championnat d'Europe 2024
20/06/2024,196948,Danemark,Angleterre,1,1,Championnat d'Europe 2024
25/06/2024,196948,Danemark,Serbie,0,0,Championnat d'Europe 2024
29/06/2024,196948,Allemagne,Danemark,2,0,Championnat d'Europe 2024
23/03/2024,196948,Danemark,Suisse,0,0,Amicaux internationaux
26/03/2024,196948,Danemark,Îles Féroé,2,0,Amicaux internationaux
05/06/2024,196948,Danemark,Suède,2,1,Amicaux internationaux
08/06/2024,196948,Danemark,Norvège,3,1,Amicaux internationaux
18/06/2024,182712,Portugal,Rép. tchèque,2,1,Championnat d'Europe 2024
22/06/2024,182712,Turquie,Portugal,0,3,Championnat d'Europe 2024
26/06/2024,182712,Géorgie,Portugal,2,0,Championnat d'Europe 2024
01/07/2024,182712,Portugal,Slovénie,3,0,Championnat d'Europe 2024
05/07/2024,182712,Portugal,France,3,5,Championnat d'Europe 2024
21/03/2024,182712,Portugal,Suède,5,2,Amicaux internationaux
26/03/2024,182712,Slovénie,Portugal,2,0,Amicaux internationaux
04/06/2024,182712,Portugal,Finlande,4,2,Amicaux internationaux
08/06/2024,182712,Portugal,Croatie,1,2,Amicaux internationaux
11/06/2024,182712,Portugal,Irlande,3,0,Amicaux internationaux
12/10/2023,937956,Turquie U18,Espagne U18,1,1,Amicaux internationaux
16/10/2023,937956,Espagne U18,Portugal U18,0,1,Amicaux internationaux
17/01/2024,937956,Espagne U18,Italie U18,0,0,Amicaux internationaux
23/04/2024,937956,Espagne U18,Suisse M18,1,1,Amicaux internationaux
25/04/2024,937956,Espagne U18,Suisse M18,3,0,Amicaux internationaux
15/06/2024,683840,Espagne,Croatie,3,0,Championnat d'Europe 2024
20/06/2024,683840,Espagne,Italie,1,0,Championnat d'Europe 2024
24/06/2024,683840,Albanie,Espagne,0,1,Championnat d'Europe 2024
30/06/2024,683840,Espagne,Géorgie,4,1,Championnat d'Europe 2024
05/07/2024,683840,Espagne,Allemagne,2,1,Championnat d'Europe 2024
09/07/2024,683840,Espagne,France,2,1,Championnat d'Europe 2024
14/07/2024,683840,Espagne,Angleterre,2,1,Championnat d'Europe 2024
22/03/2024,683840,Espagne,Colombie,0,1,Amicaux internationaux
26/03/2024,683840,Espagne,Brésil,3,3,Amicaux internationaux
05/06/2024,683840,Espagne,Andorre,5,0,Amicaux internationaux
08/06/2024,683840,Espagne,Irlande du Nord,5,1,Amicaux internationaux
15/06/2024,636703,Espagne,Croatie,3,0,Championnat d'Europe 2024
20/06/2024,636703,Espagne,Italie,1,0,Championnat d'Europe 2024
24/06/2024,636703,Albanie,Espagne,0,1,Championnat d'Europe 2024
30/06/2024,636703,Espagne,Géorgie,4,1,Championnat d'Europe 2024
05/07/2024,636703,Espagne,Allemagne,2,1,Championnat d'Europe 2024
09/07/2024,636703,Espagne,France,2,1,Championnat d'Europe 2024
14/07/2024,636703,Espagne,Angleterre,2,1,Championnat d'Europe 2024
13/10/2023,636703,Ouzbékistan U23,Espagne U21,0,0,Amicaux internationaux
21/03/2024,636703,Espagne U21,Slovaquie U21,0,2,Amicaux internationaux
22/03/2024,636703,Espagne,Colombie,0,1,Amicaux internationaux
26/03/2024,636703,Espagne,Brésil,3,3,Amicaux internationaux
05/06/2024,636703,Espagne,Andorre,5,0,Amicaux internationaux
08/06/2024,636703,Espagne,Irlande du Nord,5,1,Amicaux internationaux
15/06/2024,398184,Espagne,Croatie,3,0,Championnat d'Europe 2024
20/06/2024,398184,Espagne,Italie,1,0,Championnat d'Europe 2024
24/06/2024,398184,Albanie,Espagne,0,1,Championnat d'Europe 2024
30/06/2024,398184,Espagne,Géorgie,4,1,Championnat d'Europe 2024
05/07/2024,398184,Espagne,Allemagne,2,1,Championnat d'Europe 2024
09/07/2024,398184,Espagne,France,2,1,Championnat d'Europe 2024
14/07/2024,398184,Espagne,Angleterre,2,1,Championnat d'Europe 2024
22/03/2024,398184,Espagne,Colombie,0,1,Amicaux internationaux
26/03/2024,398184,Espagne,Brésil,3,3,Amicaux internationaux
05/06/2024,398184,Espagne,Andorre,5,0,Amicaux internationaux
08/06/2024,398184,Espagne,Irlande du Nord,5,1,Amicaux internationaux
07/09/2023,943837,Maroc U23,Brésil U23,1,0,Amicaux internationaux
17/01/2024,938158,Italie U19,Espagne U19,0,3,Amicaux internationaux
20/02/2024,938158,Espagne U19,Norvège U19,5,0,Amicaux internationaux
22/02/2024,938158,Espagne U19,Norvège U19,2,1,Amicaux internationaux
24/06/2024,480267,Uruguay,Panama,3,1,Copa América 2024
28/06/2024,480267,Uruguay,Bolivie,5,0,Copa América 2024
02/07/2024,480267,États-Unis,Uruguay,0,1,Copa América 2024
07/07/2024,480267,Uruguay,Brésil,4,2,Copa América 2024
11/07/2024,480267,Uruguay,Colombie,0,1,Copa América 2024
