ID,Firstname,Lastname,Age,Market_value,Position,Nationality,Sec_Nationality_Origine
74857,Marc-André,ter Stegen,32,28000000.0,Gardien,Allemagne,
709955,Ander,Astralaga,20,1000000.0,Gardien,Espagne,
938145,Áron,Yaakobishvili,18,,Gardien,Hongrie,Géorgie
196948,Andreas,Christensen,28,40000000.0,Défense,Danemark,
466794,Eric,García,23,20000000.0,Défense,Espagne,
158863,Iñigo,Martínez,33,5000000.0,Défense,Espagne,
112515,Marcos,Alonso,33,2000000.0,Défense,Espagne,
182712,João,Cancelo,30,25000000.0,Défense,Portugal,
636695,Marc,Casadó,20,2500000.0,Milieu,Espagne,
937956,Pau,Prim,18,500000.0,Milieu,Espagne,
683840,Pedri,Pedri,21,80000000.0,Milieu,Espagne,
636703,Fermín,López,21,30000000.0,Milieu,Espagne,
85370,Sergi,Roberto,32,2500000.0,Milieu,Espagne,
709966,Aleix,Garrido,20,500000.0,Milieu,Espagne,
466810,Ansu,Fati,21,25000000.0,Attaquant,Espagne,Guinée-Bissau
646739,Ángel,Alarcón,20,300000.0,Attaquant,Espagne,
398184,Ferran,Torres,24,30000000.0,Attaquant,Espagne,
943837,Vitor,Roque,19,30000000.0,Attaquant,Brésil,
938158,Marc,Guiu,18,7500000.0,Attaquant,Espagne,
283170,Iñaki,Peña,25,8000000.0,Gardien,Espagne,
938144,Diego,Kochen,18,100000.0,Gardien,États-Unis,Pérou
480267,Ronald,Araujo,25,70000000.0,Défense,Uruguay,Espagne
962110,Pau,Cubarsí,17,30000000.0,Défense,Espagne,
666974,Mikayil,Faye,19,10000000.0,Défense,Sénégal,
636688,Alejandro,Balde,20,40000000.0,Défense,Espagne,République Dominicaine
411975,Jules,Koundé,25,45000000.0,Défense,France,Bénin
937955,Héctor,Fort,17,10000000.0,Défense,Espagne,
66100,Oriol,Romeu,32,2000000.0,Milieu,Espagne,
646740,Gavi,Gavi,19,90000000.0,Milieu,Espagne,
326330,Frenkie,de Jong,27,70000000.0,Milieu,Pays-Bas,
53622,İlkay,Gündoğan,33,15000000.0,Milieu,Allemagne,
970633,Unai,Hernández,19,800000.0,Milieu,Espagne,
411295,Raphinha,Raphinha,27,50000000.0,Attaquant,Brésil,Italie
724520,Abde,Ezzalzouli,22,9000000.0,Attaquant,Maroc,Espagne
937958,Lamine,Yamal,16,90000000.0,Attaquant,Espagne,Guinée Équatoriale
462250,João,Félix,24,30000000.0,Attaquant,Portugal,
38253,Robert,Lewandowski,35,15000000.0,Attaquant,Pologne,
707572,Pau,Víctor,22,1500000.0,Attaquant,Espagne,
