Match_date,City,Temperature,Feels_like,Humidity,Wind_speed,Precipitation,Clouds
13/08/2023,Getafe,28.88888888888889,84.0,48.0,7.2,0.0,0.0
20/08/2023,Barcelone,33.333333333333336,92.0,61.0,6.17,0.0,0.0
27/08/2023,Villarreal,26.11111111111111,79.0,43.0,11.33,2.38,93.0
03/09/2023,Osasuna,2.7777777777777777,37.0,51.0,9.18,0.0,7.0
16/09/2023,Barcelone,25.555555555555554,78.0,78.0,6.17,0.67,20.0
19/09/2023,Barcelone,25.555555555555554,78.0,70.0,6.17,0.0,20.0
23/09/2023,Barcelone,22.22222222222222,72.0,56.0,6.69,0.0,20.0
26/09/2023,Mallorca,25.555555555555554,78.0,52.0,5.14,0.0,20.0
29/09/2023,Barcelone,26.11111111111111,79.0,75.0,4.12,0.0,0.0
04/10/2023,pt Porto,22.22222222222222,72.0,70.0,3.6,0.0,0.0
08/10/2023,Granada,25.0,77.0,34.0,5.66,0.0,0.0
22/10/2023,Barcelone,17.22222222222222,63.0,63.0,6.17,0.12,20.0
25/10/2023,Barcelone,21.11111111111111,70.0,64.0,7.72,0.27,20.0
28/10/2023,Barcelone,21.666666666666668,71.0,53.0,7.2,0.0,0.0
04/11/2023,Real Sociedad,26.666666666666664,80.0,47.0,11.83,0.0,75.0
07/11/2023,ua Shakhtar,15.0,59.0,53.0,5.2,0.0,1.0
12/11/2023,Barcelone,20.555555555555554,69.0,64.0,5.66,0.0,20.0
25/11/2023,Rayo Vallecano,11.666666666666666,53.0,62.0,3.6,0.0,0.0
28/11/2023,Barcelone,15.0,59.0,63.0,8.23,0.0,0.0
03/12/2023,Barcelone,11.11111111111111,52.0,61.0,6.69,0.0,40.0
10/12/2023,Barcelone,16.11111111111111,61.0,65.0,6.17,0.0,0.0
13/12/2023,be Antwerp,8.88888888888889,48.0,92.0,3.6,1.06,75.0
16/12/2023,Valencia,13.88888888888889,57.0,45.0,3.13,0.0,0.0
20/12/2023,Barcelone,11.666666666666666,53.0,57.0,7.72,0.0,20.0
04/01/2024,Las Palmas,17.22222222222222,63.0,64.0,6.17,0.0,20.0
07/01/2024,Barbastro,7.777777777777778,46.0,35.0,7.83,0.0,0.0
11/01/2024,Barcelone,9.444444444444445,49.0,76.0,6.69,0.19,40.0
14/01/2024,Real Madrid,24.444444444444443,76.0,35.0,4.58,0.0,0.0
18/01/2024,Unionistas Sal,,,,,,
21/01/2024,Betis,14.444444444444445,58.0,74.0,8.96,0.0,85.0
24/01/2024,Athletic Club,13.88888888888889,57.0,75.0,3.58,0.0,0.0
27/01/2024,Barcelone,16.666666666666668,62.0,68.0,6.17,0.0,0.0
31/01/2024,Barcelone,13.88888888888889,57.0,76.0,5.66,0.0,20.0
03/02/2024,Alavés,6.666666666666666,44.0,45.0,1.39,0.0,5.0
11/02/2024,Barcelone,13.333333333333332,56.0,51.0,12.86,0.0,0.0
17/02/2024,Celta Vigo,33.888888888888886,93.0,34.0,2.36,0.82,84.0
21/02/2024,it Napoli,,,,,,
24/02/2024,Barcelone,11.666666666666666,53.0,55.0,7.2,0.22,20.0
03/03/2024,Athletic Club,8.88888888888889,48.0,72.0,7.72,2.57,75.0
08/03/2024,Barcelone,14.444444444444445,58.0,64.0,10.8,0.24,40.0
12/03/2024,Barcelone,15.0,59.0,72.0,6.17,0.0,40.0
17/03/2024,Atlético Madrid,21.11111111111111,70.0,49.0,7.2,0.0,99.0
30/03/2024,Barcelone,16.11111111111111,61.0,58.0,9.26,0.0,20.0
10/04/2024,fr Paris S-G,,,,,,
13/04/2024,Cádiz,20.555555555555554,69.0,43.0,7.2,0.0,0.0
16/04/2024,Barcelone,17.77777777777778,64.0,54.0,7.72,0.0,20.0
21/04/2024,Real Madrid,17.77777777777778,64.0,55.0,4.11,0.0,100.0
29/04/2024,Barcelone,14.444444444444445,58.0,89.0,9.77,10.1,75.0
04/05/2024,Girona,16.11111111111111,61.0,69.0,4.63,0.0,0.0
13/05/2024,Barcelone,21.666666666666668,71.0,58.0,6.17,0.0,20.0
16/05/2024,Almería,20.555555555555554,69.0,49.0,8.75,0.0,0.0
19/05/2024,Barcelone,20.555555555555554,69.0,73.0,6.17,0.0,20.0
26/05/2024,Sevilla,26.666666666666664,80.0,39.0,4.63,0.0,0.0
